NCT Number,Conditions,Conditions_mapped_concept,Conditions_mapped_concept_id,Conditions_mapped_official_concept
NCT06019663,self-harm,Self-harm,C0085271,Self-Injurious Behavior
NCT06916247,chronic disease,Chronic disease,C0008679,Chronic disease
NCT06751576,high risk cancer,High-Risk Cancer,C1512441,High-Risk Cancer
NCT06901037,healthy lifestyle,Healthy Lifestyle,C4277664,Healthy Lifestyle
NCT03787784,probe-based confocal laser endomicroscopy,Confocal Laser Endomicroscopy,C3889414,Confocal Laser Endomicroscopy
NCT06012058,glaucoma,Glaucoma,C0017601,Glaucoma
NCT04440865,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT06911632,pulmonary hypertension,Pulmonary Hypertension,C0020542,Pulmonary Hypertension
NCT06190795,stroke,Stroke,C0038454,Cerebrovascular accident
NCT05344859,"diabetes mellitus, type 2","Diabetes Mellitus, Type 2",C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT05443893,gait,Gait,C0016928,Gait
NCT04580095,heart diseases,Heart Diseases,C0018799,Heart Diseases
NCT05321784,malignant skin neoplasm,Malignant Skin Neoplasm,C0007114,Malignant neoplasm of skin
NCT04551183,abdominal aortic aneurysm (aaa),abdominal aortic aneurysm (AAA),C0162871,"Aortic Aneurysm, Abdominal"
NCT03452059,"lower extremity motor dysfunction, spinal cord injury",Alteration in neurological function caused by spinal cord injury,C0548958,Alteration in neurological function caused by spinal cord injury
NCT06842446,deep vein thrombosis,Deep Vein Thrombosis,C0149871,Deep Vein Thrombosis
NCT05178095,polyp of colon,Polyp of colon,C0009376,Colonic Polyps
NCT05730192,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT06978790,"burnout, healthcare workers",Burnout professionale,C0006433,"Burnout, Professional"
NCT03700268,deafness; perception,deafness; perception,C0018784,Sensorineural Hearing Loss (disorder)
NCT05033678,skin cancer,skin cancer,C0007114,Malignant neoplasm of skin
NCT03682783,glaucoma eye,glaucoma eye,C0857112,Bilateral glaucoma
NCT04999007,rectal cancer,Rectal Cancer,C0007113,Rectal Carcinoma
NCT04838756,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT07121283,bone age,Bone age,C0429620,Bone maturation age
NCT05391477,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT05545189,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT05463289,type 1 diabetes,Type 1 Diabetes,C0011854,"Diabetes Mellitus, Insulin-Dependent"
NCT06406062,adenoma colon polyp,adenoma colon polyp,C0742605,colon (non-specific) polyp adenoma
NCT05871814,cleansing quality of the colon,colostomy cleansing,C2106482,colostomy cleansing
NCT05985057,carbapenem resistant enterobacteriaceae infection,carbapenem-resistant enterobacteriaceae infection,C3648764,carbapenem-resistant enterobacteriaceae infection
NCT04223934,hypertension,Hypertension,C0020538,Hypertensive disease
NCT03397524,hypertension,Hypertension,C0020538,Hypertensive disease
NCT06519123,patient satisfaction,Patient Satisfaction,C0030702,Client satisfaction
NCT06481436,uterovaginal prolapse,Uterovaginal prolapse,C0156353,Uterovaginal prolapse
NCT06508294,health behavior,Health behavior,C0018687,Health behavior
NCT06456203,pneumonia,Pneumonia,C0032285,Pneumonia
NCT06032390,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT06887595,alveolar bone loss,Alveolar Bone Loss,C0002382,Alveolar Bone Loss
NCT07318428,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT05137301,endocrine diseases,Endocrine Diseases,C0014130,Endocrine System Diseases
NCT05284227,asa class iii/iv patients,ASA physical status class 3,C1531506,American Society of Anesthesiologists physical status class 3
NCT06814665,first suspected epileptic seizure,First generalized onset seizure,C3661948,First generalized onset seizure
NCT07236970,pulmonary hypertension,Pulmonary Hypertension,C0020542,Pulmonary Hypertension
NCT06642948,musculoskeletal symptoms,musculoskeletal symptoms,C0231443,musculoskeletal symptoms
NCT05147389,common bile duct neoplasms,Common Bile Duct Neoplasms,C0009442,Common Bile Duct Neoplasms
NCT05566002,pulmonary hypertension,Pulmonary Hypertension,C0020542,Pulmonary Hypertension
NCT04053959,type 2 diabetes,Type 2 Diabetes,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT06657027,glioblastoma,Glioblastoma,C0017636,Glioblastoma
NCT06726447,general health status,General Health Status,C5690869,General Health Status
NCT06374225,critical illness,Critical Illness,C0010340,Critical Illness
NCT07158203,polyps colorectal,Colorectal polyps,C0949059,Polyp of large intestine
NCT05056948,dental prosthesis,Dental Prosthesis,C0162686,Dental Prosthesis
NCT04705064,non-cardiac surgery,Non-Cardiovascular Surgery,C3275119,Non-Cardiovascular Surgery
NCT06275997,gastric cancer,Gastric Cancer,C0024623,Malignant neoplasm of stomach
NCT04949776,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT06485804,neck pain,Neck Pain,C0007859,Neck Pain
NCT05792280,mediastinum disease,mediastinum disease,C0025061,Mediastinal Diseases
NCT05118022,hyperkalemia,Hyperkalemia,C0020461,Increased circulating potassium concentration
NCT05836064,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT07077057,myocardial infarction (mi),Myocardial infarction (MI),C0027051,Myocardial Infarction
NCT06647225,developmental dysplasia of hip,developmental dysplasia of hip,C3280020,Developmental Dysplasia of the Hip
NCT06057272,"gait, stumbling","Gait, Stumbling",C0337210,"Gait, Stumbling"
NCT06447012,polyp of colon,Polyp of colon,C0009376,Colonic Polyps
NCT07255586,hearing loss,hearing loss,C0011053,Deafness
NCT06186635,healthy people,Healthy,C3898900,Healthy
NCT04778670,breast neoplasm female,Breast neoplasm female,C0235652,Breast neoplasm female
NCT04837599,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT05740137,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT07074808,chest pain,Chest Pain,C0008031,Chest Pain
NCT06856694,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT05925764,lung adenocarcinoma,lung adenocarcinoma,C0152013,Adenocarcinoma of lung (disorder)
NCT06173258,colon adenoma,Colon adenoma,C4551463,Colon adenoma
NCT06061822,cardiovascular diseases,Cardiovascular Diseases,C0007222,Cardiovascular Diseases
NCT04749277,colonic polyps,Colonic Polyps,C0009376,Colonic Polyps
NCT05885334,medication errors and other product use errors and issues,Medication errors and other product use errors and issues,C4324260,Medication errors and other product use errors and issues
NCT04671368,central nervous system neoplasms,Central Nervous System Neoplasms,C0085136,Central Nervous System Neoplasms
NCT05900440,"education, medical","Education, Medical",C0013631,"Education, Medical"
NCT05139797,cardiac amyloidosis,Cardiac amyloidosis,C0268407,Senile cardiac amyloidosis
NCT06052241,dandruff,Dandruff,C0221244,Seborrheic dermatitis of scalp
NCT05652933,"stroke, acute","Stroke, Acute",C0751956,Acute Cerebrovascular Accidents
NCT05629793,covid-19,COVID-19,C5203670,COVID-19 Virus Disease
NCT06441149,bronchoscopy,Bronchoscopy,C0006290,Bronchoscopy (procedure)
NCT05006092,surveillance endoscopy for colorectal cancer,Surveillance for colorectal cancer,C4316665,Surveillance for colorectal cancer
NCT03829423,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT06749743,dental caries (diagnosis),dental caries (diagnosis),C0011334,Dental caries
NCT05704920,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT06918444,lifestyle intervention,Lifestyle Therapy,C1517876,Lifestyle Therapy
NCT06699433,pneumococcal pneumonia,pneumococcal pneumonia,C0032300,Lobar Pneumonia
NCT05735171,glioblastoma,Glioblastoma,C0017636,Glioblastoma
NCT05557162,cardiac amyloidosis,Cardiac amyloidosis,C0268407,Senile cardiac amyloidosis
NCT07205263,basal ganglia hemorrhage,Basal Ganglia Hemorrhage,C0472377,Basal Ganglia Hemorrhage
NCT05173064,pain,Pain,C0006138,Bread
NCT06353542,glaucoma,Glaucoma,C0017601,Glaucoma
NCT07236879,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT04933890,left ventricular dysfunction,left ventricular dysfunction,C0242698,"Ventricular Dysfunction, Left"
NCT06521788,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT06546904,ultrasound-guided regional anesthesia,Intravenous regional analgesia,C0457956,Intravenous regional analgesia
NCT04945044,adenoma detection rate,ADENOMA DETECTED SCREENING,C3865286,Adenoma(s) or other neoplasm detected during screening colonoscopy (SCADR)
NCT06528223,pancreatic cancer,PANCREATIC CANCER,C0235974,Pancreatic carcinoma
NCT04551287,cervical cancer,Cervical cancer,C0007847,Malignant tumor of cervix
NCT04573244,hemoglobin; deficiency,hemoglobin; deficiency,C1394888,hemoglobin; deficiency
NCT06553326,colon cancer,colon cancer,C0007102,Malignant tumor of colon
NCT05006339,orthodontic relapse,Reocclusion,C0854571,Reocclusion
NCT05322993,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT07305337,leukaemia,LEUKAEMIA,C0023418,leukemia
NCT03761771,sensitivity of the ads in identifying polyps in real-world colonoscopy,Adenoma(s) or other neoplasm detected during screening colonoscopy (SCADR),C3865286,Adenoma(s) or other neoplasm detected during screening colonoscopy (SCADR)
NCT05903898,ischemic stroke,Ischemic stroke,C0948008,Ischemic stroke
NCT04079478,colon cancer,colon cancer,C0007102,Malignant tumor of colon
NCT04046497,first episode psychosis,First episode,C0439615,First episode
NCT06714097,stroke,Stroke,C0038454,Cerebrovascular accident
NCT06079619,genital tumor,Genital tumor,C0679347,Genital neoplasm
NCT05476978,pancreatic ductal adenocarcinoma,Pancreatic Ductal Adenocarcinoma,C1335302,Pancreatic Ductal Adenocarcinoma
NCT06423274,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT06632028,herniated intervertebral disc,herniated intervertebral disc,C0021818,Intervertebral Disk Displacement
NCT07143903,smart normal labor,Normal labor,C0233081,Normal labor
NCT06902675,clinical decision-making,Clinical Decision-Making,C4042877,Clinical Decision-Making
NCT04937647,gastrointestinal neoplasms,Gastrointestinal Neoplasms,C0017185,Gastrointestinal Neoplasms
NCT06791343,pregnancy-related and neonatal disorders,Perinatal fetal and/or neonatal disorder,C5685962,Perinatal infection of fetus and/or neonate
NCT06086951,autism spectrum disorder,Autism spectrum disorder,C0524528,Pervasive Development Disorder
NCT05246163,skin cancer,skin cancer,C0007114,Malignant neoplasm of skin
NCT05228197,prostatic neoplasms,Prostatic Neoplasms,C0033578,Prostatic Neoplasms
NCT05941689,adenoma colon,adenoma colon,C4551463,Colon adenoma
NCT06982482,primary sjögren&#39;s syndrome (pss),primary Sjogren syndrome (diagnosis),C0151449,Primary Sjögren's syndrome
NCT04040114,skin cancer,skin cancer,C0007114,Malignant neoplasm of skin
NCT06971471,gastric cancer,Gastric Cancer,C0024623,Malignant neoplasm of stomach
NCT06469671,colonic neoplasms,Colonic Neoplasms,C0009375,Colonic Neoplasms
NCT06675266,fetal anomalies,Fetal Anomalies,C0266647,Congenital anomalies of fetus
NCT06320132,intracranial hemorrhages,intracranial hemorrhages,C0151699,Intracranial Hemorrhage
NCT05318599,"lung; disease, interstitial, with fibrosis","lung; disease, interstitial, with fibrosis",C1385063,"lung; disease, interstitial, with fibrosis"
NCT06412900,urinary stone,Urinary stone,C0042018,Urinary Calculi
NCT05631015,helicobacter pylori infection,Helicobacter pylori infection,C0850666,Infection caused by Helicobacter pylori
NCT06401434,tuberculosis,Tuberculosis,C0041296,Tuberculosis
NCT05500248,colonic neoplasms,Colonic Neoplasms,C0009375,Colonic Neoplasms
NCT04543656,pre-hypertension,Pre-Hypertension,C1696708,Prehypertension
NCT05863208,adenoma detection rate,ADENOMA DETECTED SCREENING,C3865286,Adenoma(s) or other neoplasm detected during screening colonoscopy (SCADR)
NCT06335654,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT05987670,heart failure,Heart failure,C0018801,Heart failure
NCT04921488,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT06465719,basal ganglia hemorrhage,Basal Ganglia Hemorrhage,C0472377,Basal Ganglia Hemorrhage
NCT05766722,cataract,Cataract,C0086543,Cataract
NCT05870332,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT05231824,obesity,Obesity,C0028754,Obesity
NCT06715488,rheumatoid arthritis &amp; other inflammatory polyarthropathies,Rheumatoid arthritis and other inflammatory polyarthropathies (disorder),C0157913,Rheumatoid arthritis and other inflammatory polyarthropathies
NCT05207254,difficult airways,Difficult airway intubation,C0549401,Difficult tracheal intubation (finding)
NCT03556813,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT04642378,type 2 diabetes,Type 2 Diabetes,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT06043986,nurse's role,Nurse's Role,C0597109,Nurse's Role
NCT04879563,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT05820347,respiratory failure,Respiratory Failure,C1145670,Respiratory Failure
NCT05754229,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT03912961,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT05171634,ulcerative colitis,Ulcerative Colitis,C0009324,Ulcerative Colitis
NCT06013137,depression,Depression,C0011570,Mental Depression
NCT06315829,infantile spasms,Infantile spasms,C0037769,West Syndrome
NCT06386016,valvular heart disease,VALVULAR HEART DISEASE,C0018824,Heart valve disease
NCT06603233,dental plaque (diagnosis),dental plaque (diagnosis),C0011389,Dental Plaque
NCT04294355,colon adenoma,Colon adenoma,C4551463,Colon adenoma
NCT02801877,depression,Depression,C0011570,Mental Depression
NCT06112691,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT07329881,trauma (including fractures),fractures traumatic,C0877237,Traumatic fracture
NCT07290647,preoperative care,Preoperative Care,C0033061,Preoperative Care
NCT05675670,hyperthyroidism,Hyperthyroidism,C0020550,Hyperthyroidism
NCT05515679,dementia,dementia,C0011265,Presenile dementia
NCT05810428,trigeminal neuralgia,Trigeminal Neuralgia,C0040997,Trigeminal Neuralgia
NCT04040374,gastric cancer,Gastric Cancer,C0024623,Malignant neoplasm of stomach
NCT06094270,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT06041945,colonic neoplasms,Colonic Neoplasms,C0009375,Colonic Neoplasms
NCT05058690,pre-diabetes,Pre-diabetes,C0362046,Prediabetes syndrome
NCT06954753,pancreatic cancer,PANCREATIC CANCER,C0235974,Pancreatic carcinoma
NCT06416631,surgery,Surgery,C0038894,Surgery specialty
NCT04876157,ultrasound image interpretation,Ultrasound imaging report,C4274377,Ultrasound imaging report
NCT06334796,stroke,Stroke,C0038454,Cerebrovascular accident
NCT05558605,heart failure,Heart failure,C0018801,Heart failure
NCT06251700,screening colonscopy,Screening colonoscopy (procedure),C1882982,Screening colonoscopy
NCT06299449,implant complication,implant complication,C0235895,Implantation complication
NCT05640011,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT05070884,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT04260321,colon cancer,colon cancer,C0007102,Malignant tumor of colon
NCT05041283,bowel preparation,Bowel preparation,C0455052,Bowel preparation
NCT05139940,tuberculosis,Tuberculosis,C0041296,Tuberculosis
NCT05823792,ileocolic intussusception,Ileocolic intussusception,C0267548,Ileocolic intussusception
NCT05382000,emergencies,emergencies,C0013956,Emergency Situation
NCT05569863,hypospadias,Hypospadias,C0848558,Hypospadias
NCT05118035,cardiovascular diseases,Cardiovascular Diseases,C0007222,Cardiovascular Diseases
NCT05161624,liver tumor,LIVER TUMOR,C0023903,Liver neoplasms
NCT06214520,diabetes mellitus type 2,Diabetes mellitus type 2,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT06216405,colon cancer,colon cancer,C0007102,Malignant tumor of colon
NCT06728241,psychosis,Psychosis,C0033975,Psychotic Disorders
NCT07025096,sepsis,Sepsis,C0036690,Septicemia
NCT05257239,weight management,weight management,C0920298,Weight maintenance regimen
NCT04586556,adenomatous polyps,Adenomatous Polyps,C0206677,Adenomatous Polyps
NCT05141773,adenoma detection rate,ADENOMA DETECTED SCREENING,C3865286,Adenoma(s) or other neoplasm detected during screening colonoscopy (SCADR)
NCT06883669,education,Education,C0013621,Knowledge acquisition
NCT06273579,surgical education,Surgery Education note,C4071154,Education note:Find:Pt:{Setting}:Doc:Surgery
NCT06855238,cardiovascular diseases,Cardiovascular Diseases,C0007222,Cardiovascular Diseases
NCT02454660,medication non-adherence,Medication Non-Adherence,C0746935,Medication Nonadherence
NCT06135506,alveolar bone resorption,Alveolar bone resorption,C0002382,Alveolar Bone Loss
NCT07162753,class i malocclusion,Class I malocclusion,C0399523,Class I malocclusion
NCT06910956,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT05807841,coronary artery disease,coronary artery disease,C0010054,Coronary Arteriosclerosis
NCT06658600,coronary heart disease,Coronary heart disease,C0010068,Coronary heart disease
NCT06662708,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT04910984,hiv infections,HIV Infections,C0019693,HIV Infections
NCT04576416,melanoma,melanoma,C0025202,melanoma
NCT05275556,colon adenoma,Colon adenoma,C4551463,Colon adenoma
NCT06438393,coronary artery disease,coronary artery disease,C0010054,Coronary Arteriosclerosis
NCT06040710,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT07066891,diabetes mellitus,diabetes mellitus,C0011849,Diabetes Mellitus
NCT05034185,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT06341205,membranous nephropathy,membranous nephropathy,C0017665,Membranous glomerulonephritis
NCT04721444,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT07019116,primary care,Primary Care,C0033137,Primary Health Care
NCT06779422,neurodevelopmental disorders,Neurodevelopmental Disorders,C1535926,Neurodevelopmental Disorders
NCT07113327,periodontitis,periodontitis,C0031099,Periodontitis
NCT07010991,student,student,C0038492,student
NCT04859530,cervical cancer,Cervical cancer,C0007847,Malignant tumor of cervix
NCT06258798,oral health,Oral health,C0029162,Oral health
NCT07149142,type 1 diabetes mellitus,type 1 diabetes mellitus,C0011854,"Diabetes Mellitus, Insulin-Dependent"
NCT07066046,colorectal cancer (crc),Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT07317661,eye disorders,Eye Disorders,C0015397,Disorder of eye
NCT06792110,hearing loss,hearing loss,C0011053,Deafness
NCT06281392,inflammatory bowel diseases,Inflammatory Bowel Diseases,C0021390,Inflammatory Bowel Diseases
NCT06643715,pancreatic cancer,PANCREATIC CANCER,C0235974,Pancreatic carcinoma
NCT06449742,vertebral fracture,Vertebral fracture,C0080179,Spinal Fractures
NCT05751538,bronchiectasis,Bronchiectasis,C0006267,Bronchiectasis
NCT02464449,back pain,Back Pain,C0004604,Back Pain
NCT06480045,breast neoplasms,Breast Neoplasms,C1458155,Mammary Neoplasms
NCT06767709,"cardiac arrest, out-of-hospital","Cardiac Arrest, Out-of-Hospital",C2936490,Out-of-Hospital Cardiac Arrest
NCT05573308,malocclusion,Malocclusion,C0024636,Malocclusion
NCT05127460,atrial fibrillation new onset,atrial fibrillation new onset,C0741281,atrial fibrillation new onset
NCT06452004,hpv infection,HPV Infection,C0343641,Human papilloma virus infection
NCT07220304,coronary artery disease,coronary artery disease,C0010054,Coronary Arteriosclerosis
NCT05176145,non-muscle invasive bladder cancer (nmibc),Non-Muscle Invasive Bladder Carcinoma,C1336527,Non-Muscle Invasive Bladder Neoplasms
NCT05117970,left ventricular systolic dysfunction (disorder),Left ventricular systolic dysfunction (disorder),C1277187,Left ventricular systolic dysfunction
NCT04864587,"pouches, ileoanal","Pouches, Ileoanal",C0086448,Ileoanal Pouches
NCT04782635,post-cardiac surgery,post cardiac surgery,C2062965,post cardiac surgery
NCT04710615,drug-drug interactions,drug-drug interaction,C0687133,Drug Interactions
NCT05779319,cataract,Cataract,C0086543,Cataract
NCT04487626,colonic disease,Colonic Disease,C0009373,Colonic Diseases
NCT05643664,frequency of embolic complications,EMBOLIC COMPLICATION MULTIPLE,C0743472,EMBOLIC COMPLICATION MULTIPLE
NCT06982872,endocytoscopy,endocytoscopy,C4733485,endocytoscopy
NCT06494748,intensive care unit,intensive care unit,C0021708,intensive care unit
NCT03899623,diabete mellitus,diabete mellitus,C0011849,Diabetes Mellitus
NCT07061730,speech sound disorder,speech sound disorder,C2004345,phonological developmental disorder
NCT04675138,gastric cancer,Gastric Cancer,C0024623,Malignant neoplasm of stomach
NCT06276478,dental anxiety,Dental Anxiety,C0085380,Dental Anxiety
NCT06206187,atrial fibrillation,Atrial Fibrillation,C0004238,Atrial Fibrillation
NCT07330362,chronic glomerulonephritis,Chronic glomerulonephritis,C0152451,Chronic glomerulonephritis
NCT06741332,stroke,Stroke,C0038454,Cerebrovascular accident
NCT07273513,hypertension,Hypertension,C0020538,Hypertensive disease
NCT07021599,heart failure,Heart failure,C0018801,Heart failure
NCT06118671,diabetes,Diabetes,C0011847,Diabetes
NCT06767111,cervical cytology,Cervical cytology,C0856201,Cervical cytology
NCT06040723,gastroesophageal hernia,Gastroesophageal hernia,C0267725,Paraesophageal hernia
NCT05824546,ultrasound therapy,Ultrasound Therapy,C0041620,Ultrasonic Therapy
NCT06760494,hcc - hepatocellular carcinoma,HCC - Hepatocellular carcinoma,C2239176,Liver carcinoma
NCT06093217,pulmonary embolism,Pulmonary Embolism,C0034065,Pulmonary Embolism
NCT06450938,endodontically treated teeth,endodontically treated teeth,C0376699,"Teeth, Endodontically-Treated"
NCT06183970,stroke,Stroke,C0038454,Cerebrovascular accident
NCT05118009,"myocardial infarction, acute",MYOCARDIAL INFARCTION ACUTE,C0155626,Acute myocardial infarction
NCT06319300,diabetes type 2,diabetes type 2,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT06685367,acute kidney injury,Acute kidney injury,C0022660,"Kidney Failure, Acute"
NCT05544006,heart failure,Heart failure,C0018801,Heart failure
NCT05489341,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT04384575,gastric cancer,Gastric Cancer,C0024623,Malignant neoplasm of stomach
NCT04643626,"malnutrition, calorie","Malnutrition, calorie",C3251826,Malnutrition (calorie)
NCT05435391,myocardial infarction or chest pain,Myocardial infarction or chest pain,C3844447,Myocardial infarction or chest pain
NCT04214782,ovarian cancer,Ovarian Cancer,C1140680,Malignant neoplasm of ovary
NCT03911323,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT05928819,gastric cancer,Gastric Cancer,C0024623,Malignant neoplasm of stomach
NCT07246018,cephalometry,Cephalometry,C0007723,Cephalometry
NCT04723758,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT07246811,rheumatoid arthritis (ra),RA (rheumatoid arthritis),C0003873,Rheumatoid Arthritis
NCT06935591,atrial fibrillation (af),atrial fibrillation (AF),C0004238,Atrial Fibrillation
NCT06654128,lynch syndrome,Lynch syndrome,C1333990,Hereditary Nonpolyposis Colorectal Cancer
NCT06828575,hemodynamic instability,Hemodynamic instability,C0948268,Hemodynamic instability
NCT06589154,healthy people,Healthy,C3898900,Healthy
NCT06417827,mental health diagnosis,Mental health diagnosis,C4760037,Mental health diagnosis
NCT06302686,mild cognitive impairment,Mild Cognitive Impairment,C1270972,Mild cognitive disorder
NCT05117320,dyspnea,Dyspnea,C0013404,Dyspnea
NCT05793840,cardiomyopathies,Cardiomyopathies,C0878544,Cardiomyopathies
NCT04733638,intracerebral hemorrhage,Intracerebral Hemorrhage,C2937358,Cerebral Hemorrhage
NCT07040527,chest wall tumor,chest wall tumor,C1290309,Neoplasm of chest wall
NCT07234539,thyroid cancer,Thyroid cancer,C0007115,Malignant neoplasm of thyroid
NCT05978986,varicose veins of lower limb,Varicose veins of lower limb,C0155778,Varicose veins of lower extremity
NCT04255615,infertility,Infertility,C0021359,Infertility
NCT06462989,structural heart abnormality,Structural Heart Abnormality,C3274789,Structural Heart Abnormality
NCT05459428,intestinal metaplasia of gastric mucosa,Intestinal metaplasia of gastric mucosa,C0267187,Gastric intestinal metaplasia
NCT04894708,screening colonoscopy,Screening colonoscopy,C1882982,Screening colonoscopy
NCT05167058,atrial fibrillation,Atrial Fibrillation,C0004238,Atrial Fibrillation
NCT05918354,allergy,Allergy,C0002111,Allergy Specialty
NCT05414448,adenoma,Adenoma,C0001430,Adenoma
NCT07318922,oral lichen planus,Oral lichen planus,C0206139,"Lichen Planus, Oral"
NCT04275609,gastrointestinal disease,Gastrointestinal Disease,C0017178,Gastrointestinal Diseases
NCT05953441,sepsis,Sepsis,C0036690,Septicemia
NCT05204186,bladder cancer,bladder cancer,C0005684,Malignant neoplasm of urinary bladder
NCT04909671,lynch syndrome,Lynch syndrome,C1333990,Hereditary Nonpolyposis Colorectal Cancer
NCT03708978,women with breast cancer,Breast cancer female,C0235653,Malignant neoplasm of female breast
NCT07209592,stroke,Stroke,C0038454,Cerebrovascular accident
NCT07227233,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT03572699,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT06907927,healthy,Healthy,C3898900,Healthy
NCT06697496,cigarette smoking-related carcinoma,Cigarette Smoking-Related Carcinoma,C1333049,Cigarette Smoking-Related Carcinoma
NCT05421520,endoscopic ultrasound,Endoscopic Ultrasound,C0376443,Endoscopic Ultrasound
NCT07329699,coronary artery disease,coronary artery disease,C0010054,Coronary Arteriosclerosis
NCT05202626,nasopharyngeal carcinoma,Nasopharyngeal carcinoma,C2931822,Nasopharyngeal carcinoma
NCT06637293,primary care provider,Primary Care Provider,C1547431,Primary Care Provider - Provider role
NCT06298474,dementia,dementia,C0011265,Presenile dementia
NCT06451315,abdominal aortic aneurysm,Abdominal aortic aneurysm,C0162871,"Aortic Aneurysm, Abdominal"
NCT06392737,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT02599259,stroke,Stroke,C0038454,Cerebrovascular accident
NCT05168150,surgical education,Surgery Education note,C4071154,Education note:Find:Pt:{Setting}:Doc:Surgery
NCT06253065,prostatic neoplasms,Prostatic Neoplasms,C0033578,Prostatic Neoplasms
NCT04825184,body image,body image,C0005891,Body Image
NCT05653063,cancer of prostate,Cancer of prostate,C0376358,Malignant neoplasm of prostate
NCT05797207,inflammatory bowel diseases,Inflammatory Bowel Diseases,C0021390,Inflammatory Bowel Diseases
NCT05990218,colon polyp,COLON POLYP,C0009376,Colonic Polyps
NCT05817110,lung malignancy,lung malignancy,C0242379,Malignant neoplasm of lung
NCT05391659,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT05080296,datscan spect scans,DaT scan,C5690730,Dopamine Transporter Imaging
NCT06964412,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT05028179,coronary heart disease,Coronary heart disease,C0010068,Coronary heart disease
NCT04313946,covid-19,COVID-19,C5203670,COVID-19 Virus Disease
NCT04631653,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT06992180,"depression, anxiety",depression; anxiety,C0338908,Mixed anxiety and depressive disorder
NCT06325514,oral cancer,Oral Cancer,C0153381,Malignant neoplasm of mouth
NCT07111715,crohn disease (cd),CD - Crohn's disease,C0010346,Crohn Disease
NCT06360523,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT06002373,skeletal dysplasia,Skeletal dysplasia,C0410528,Skeletal dysplasia
NCT06092801,coronary artery disease,coronary artery disease,C0010054,Coronary Arteriosclerosis
NCT05297877,cardiac,Cardiac,C0018787,Heart
