NCT Number,Conditions,Conditions_mapped_concept,Conditions_mapped_concept_id,Conditions_mapped_official_concept
NCT07314853,neoplasm,Neoplasm,C0027651,Neoplasms
NCT06721351,diabetic retinopathy (dr),DR - Diabetic retinopathy,C0011884,Diabetic Retinopathy
NCT07251907,electronic medical record,Electronic Medical Record,C2362543,Electronic Health Records
NCT06759012,medical education,Medical education,C0013631,"Education, Medical"
NCT06836258,ai-assisted documentation,informar diagnóstico al paciente,C0588447,Informing patient of diagnosis
NCT06887699,omi - occlusion myocardial infarction,"occlusion; cerebrovascular, with infarction",C1386655,"occlusion; cerebrovascular, with infarction"
NCT06459479,medical education,Medical education,C0013631,"Education, Medical"
NCT04636996,coronary heart disease,Coronary heart disease,C0010068,Coronary heart disease
NCT04517201,type 2 diabetes,Type 2 Diabetes,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT06130397,fracture,Fracture,C0016658,Fracture
NCT07202286,osteo arthritis knee and hip,OSTEOARTHRITIS OF KNEE/HIP,C2675609,OSTEOARTHRITIS SUSCEPTIBILITY 3
NCT04378660,polyp of colon,Polyp of colon,C0009376,Colonic Polyps
NCT06548373,anesthesia,Anesthesia,C0002903,Anesthesia procedures
NCT05317351,colorectal (colon or rectal) cancer,Cancer colorectal,C0009402,Colorectal Carcinoma
NCT07009639,atrial cardiomyopathy,Atrial cardiomyopathy,C4021885,Atrial cardiomyopathy
NCT07160517,autism spectrum disorder,Autism spectrum disorder,C0524528,Pervasive Development Disorder
NCT06877988,visual impairment,Visual impairment,C0042798,Low Vision
NCT05065931,medical informatics applications,Medical Informatics Applications,C0025089,Medical Informatics Applications
NCT07023510,valvular heart disease patients,VALVULAR HEART DISEASE,C0018824,Heart valve disease
NCT06846229,real-world study,Real World Clinical Trials as Topic,C3658215,Pragmatic Clinical Trials as Topic
NCT07061132,employment anxiety,Employment concern,C4060926,Employment concern
NCT06287892,hypertrophic cardiomyopathy,Hypertrophic Cardiomyopathy,C0007194,Hypertrophic Cardiomyopathy
NCT05732233,colon adenoma,Colon adenoma,C4551463,Colon adenoma
NCT06089655,type 2 diabetes,Type 2 Diabetes,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT06726733,intensive care unit (icu) admission,ICU - Admission to intensive care unit,C0583239,Admission to intensive care unit
NCT05335096,hiv infections,HIV Infections,C0019693,HIV Infections
NCT06905782,colorectal cancer screening,colorectal cancer screening,C0281185,Screening for Colorectal Cancer
NCT04691401,polyp of colon,Polyp of colon,C0009376,Colonic Polyps
NCT04997824,atrial fibrillation,Atrial Fibrillation,C0004238,Atrial Fibrillation
NCT07105137,emotional disturbance,Emotional Disturbance,C0013985,Emotional Disturbances
NCT07290608,deep vein thrombosis,Deep Vein Thrombosis,C0149871,Deep Vein Thrombosis
NCT05940090,skin lesion,Skin lesion,C0037284,Skin lesion
NCT06952439,to validate the clinical performance of ai/ml technologies in first-trimester pregnant participants,"Obstetrics (preeclampsia), biochemical assay of placental-growth factor, time-resolved fluorescence immunoassay, maternal serum, predictive algorithm reported as a risk score for preeclampsia",C5691505,"Obstetrics (preeclampsia), biochemical assay of placental-growth factor, time-resolved fluorescence immunoassay, maternal serum, predictive algorithm reported as a risk score for preeclampsia"
NCT04466059,hematologic malignancy,Hematologic malignancy,C0348393,Malignant tumor of lymphoid hemopoietic and related tissue
NCT06474338,bladder tumor,bladder tumor,C0005695,Bladder Neoplasm
NCT06711458,hospital discharge summary understanding,Hospital Discharge summary,C1316568,Discharge summary note:Find:Pt:Hospital:Doc:{Role}
NCT03915119,injuries,Injuries,C0497561,urologic injuries
NCT07228689,gastrointestinal neoplasm,Gastrointestinal Neoplasm,C0017185,Gastrointestinal Neoplasms
NCT07096232,keratoconus,Keratoconus,C0022578,Keratoconus
NCT04000087,asymptomatic left ventricular systolic dysfunction (disorder),Asymptomatic left ventricular systolic dysfunction (disorder),C3698411,Asymptomatic left ventricular systolic dysfunction
NCT07223736,pelvic floor disorder,Pelvic Floor Disorder,C3178892,Pelvic Floor Disorders
